Time (Days) ,Brightness (solar luminosities) ,Brightness uncertainty (solar luminosities)
  224.98555 ,                    10.92920850 ,1.3E-4                                     
  449.97110 ,                    10.92871237 ,1.4E-4
  674.95665 ,                    10.92923253 ,1.4E-4
  822.23702 ,                    10.92903960 ,1.2E-4
  822.26253 ,                    10.92912967 ,1.4E-4
  822.28804 ,                    10.92921417 ,1.4E-4
  822.31354 ,                    10.92909185 ,1.3E-4
  822.33905 ,                    10.92929404 ,1.2E-4
  822.36456 ,                    10.92899969 ,1.4E-4
  822.39006 ,                    10.92904135 ,1.2E-4
  822.41557 ,                    10.92903262 ,1.3E-4
  822.44108 ,                    10.92928622 ,1.4E-4
  822.46658 ,                    10.92919626 ,1.4E-4
  822.49209 ,                    10.92935146 ,1.3E-4
  822.51760 ,                    10.92914264 ,1.3E-4
  822.54310 ,                    10.92923103 ,1.2E-4
  822.56861 ,                    10.92898049 ,1.2E-4
  822.59412 ,                    10.92924301 ,1.2E-4
  822.61962 ,                    10.92907221 ,1.3E-4
  822.64513 ,                    10.92924489 ,1.2E-4
  822.67064 ,                    10.92922586 ,1.3E-4
  822.69614 ,                    10.92925856 ,1.2E-4
  822.72165 ,                    10.92915544 ,1.2E-4
  822.74716 ,                    10.92921623 ,1.3E-4
  822.77266 ,                    10.92925406 ,1.4E-4
  822.79817 ,                    10.92905533 ,1.4E-4
  822.82368 ,                    10.92923081 ,1.4E-4
  822.84918 ,                    10.92908548 ,1.3E-4
  822.87469 ,                    10.92908505 ,1.3E-4
  822.90020 ,                    10.92897553 ,1.4E-4
  822.92570 ,                    10.92927308 ,1.3E-4
  822.95121 ,                    10.92922056 ,1.2E-4
  822.97672 ,                    10.92891067 ,1.2E-4
  823.00222 ,                    10.92914329 ,1.4E-4
  823.02773 ,                    10.92920969 ,1.4E-4
  823.05324 ,                    10.92934879 ,1.4E-4
  823.07875 ,                    10.92896005 ,1.2E-4
  823.10425 ,                    10.92921528 ,1.4E-4
  823.12976 ,                    10.92899587 ,1.3E-4
  823.15527 ,                    10.92918330 ,1.2E-4
  823.18077 ,                    10.92902181 ,1.3E-4
  823.20628 ,                    10.92923604 ,1.3E-4
  823.23179 ,                    10.92910119 ,1.4E-4
  823.25729 ,                    10.92927490 ,1.2E-4
  823.28280 ,                    10.92906638 ,1.4E-4
  823.30831 ,                    10.92896300 ,1.4E-4
  823.33381 ,                    10.92924457 ,1.3E-4
  823.35932 ,                    10.92920367 ,1.3E-4
  823.38483 ,                    10.92911878 ,1.3E-4
  823.41033 ,                    10.92913777 ,1.4E-4
  823.43584 ,                    10.92915970 ,1.4E-4
  823.46135 ,                    10.92914171 ,1.3E-4
  823.48685 ,                    10.92913830 ,1.3E-4
  823.51236 ,                    10.92913446 ,1.3E-4
  823.53787 ,                    10.92910708 ,1.3E-4
  823.56337 ,                    10.92898098 ,1.3E-4
  823.58888 ,                    10.92905341 ,1.3E-4
  823.61439 ,                    10.92910826 ,1.2E-4
  823.63989 ,                    10.92900617 ,1.4E-4
  823.66540 ,                    10.92913387 ,1.4E-4
  823.69091 ,                    10.92910688 ,1.2E-4
  823.71641 ,                    10.92924803 ,1.3E-4
  823.74192 ,                    10.92907020 ,1.2E-4
  823.76743 ,                    10.92910182 ,1.4E-4
  823.79293 ,                    10.92900591 ,1.3E-4
  823.81844 ,                    10.92913452 ,1.4E-4
  823.84395 ,                    10.92906928 ,1.4E-4
  823.86945 ,                    10.92926823 ,1.3E-4
  823.89496 ,                    10.92907470 ,1.3E-4
  823.92047 ,                    10.92909015 ,1.2E-4
  823.94597 ,                    10.92916267 ,1.4E-4
  823.97148 ,                    10.92904840 ,1.3E-4
  823.99699 ,                    10.92915437 ,1.4E-4
  824.02249 ,                    10.92920497 ,1.3E-4
  824.04800 ,                    10.92922234 ,1.2E-4
  824.07351 ,                    10.92913236 ,1.2E-4
  824.09901 ,                    10.92924948 ,1.3E-4
  824.12452 ,                    10.92898073 ,1.4E-4
  824.15003 ,                    10.92933679 ,1.2E-4
